Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/viewer/,1,0,378.48370899999395,378.48370899999395,378.48370899999395,378.48370899999395,5716.0,1.8082785909555548,0.0,380,380,380,380,380,380,380,380,380,380,380
GET,/viewer/assets/academicons/css/academicons.min.css,1,0,206.02191300000072,206.02191300000072,206.02191300000072,206.02191300000072,7768.0,1.8082785909555548,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/viewer/assets/fontawesome/css/all.min.css,1,0,210.07669499999793,210.07669499999793,210.07669499999793,210.07669499999793,59305.0,1.8082785909555548,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/viewer/assets/fontawesome/webfonts/fa-regular-400.woff2,1,0,16.640117999997983,16.640117999997983,16.640117999997983,16.640117999997983,13224.0,1.8082785909555548,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/viewer/assets/fontawesome/webfonts/fa-solid-900.woff2,1,0,16.269468000004395,16.269468000004395,16.269468000004395,16.269468000004395,78268.0,1.8082785909555548,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/viewer/assets/logo/ebrains-logo-dark.svg,1,0,14.10939699999858,14.10939699999858,14.10939699999858,14.10939699999858,11876.0,1.8082785909555548,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/viewer/assets/logo/ebrains-logo-light.svg,1,0,13.935207000002947,13.935207000002947,13.935207000002947,13.935207000002947,11915.0,1.8082785909555548,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/viewer/catchSyntaxError.js,1,0,10.505754999996952,10.505754999996952,10.505754999996952,10.505754999996952,410.0,1.8082785909555548,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/viewer/chunk_worker.bundle.js,2,0,16.098108000008438,24.738622500002805,16.098108000008438,33.37913699999717,301361.0,3.6165571819111095,0.0,33,33,33,33,33,33,33,33,33,33,33
GET,/viewer/extra_js.js,1,0,213.33008699998857,213.33008699998857,213.33008699998857,213.33008699998857,47.0,1.8082785909555548,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/viewer/icons/iav-icons.css,1,0,209.86644399999932,209.86644399999932,209.86644399999932,209.86644399999932,518.0,1.8082785909555548,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/viewer/icons/iav-icons.woff,1,0,18.875850000000582,18.875850000000582,18.875850000000582,18.875850000000582,2428.0,1.8082785909555548,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/viewer/includeMatomo.js,1,0,11.373375000005126,11.373375000005126,11.373375000005126,11.373375000005126,843.0,1.8082785909555548,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/connectivity-component.js,1,0,27.794303999996828,27.794303999996828,27.794303999996828,27.794303999996828,129703.0,1.8082785909555548,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-1122d015.system.js,1,0,21.87496099999464,21.87496099999464,21.87496099999464,21.87496099999464,20575.0,1.8082785909555548,0.0,22,22,22,22,22,22,22,22,22,22,22
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-a3eb4831.system.js,1,0,11.005935000000022,11.005935000000022,11.005935000000022,11.005935000000022,2309.0,1.8082785909555548,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-ec904422.system.js,1,0,19.69990999999993,19.69990999999993,19.69990999999993,19.69990999999993,1969.0,1.8082785909555548,0.0,20,20,20,20,20,20,20,20,20,20,20
GET,/viewer/lib/hbp-connectivity-component/dist/connectivity-component/p-fba65a86.system.js,1,0,41.806870999991474,41.806870999991474,41.806870999991474,41.806870999991474,2280.0,1.8082785909555548,0.0,42,42,42,42,42,42,42,42,42,42,42
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/ng-layer-tune.esm.js,1,0,12.67184700000712,12.67184700000712,12.67184700000712,12.67184700000712,945.0,1.8082785909555548,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/p-9649e2d0.js,1,0,16.734607999993045,16.734607999993045,16.734607999993045,16.734607999993045,17882.0,1.8082785909555548,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/viewer/lib/ng-layer-tune/dist/ng-layer-tune/p-e7f71eaa.js,1,0,31.196415000010802,31.196415000010802,31.196415000010802,31.196415000010802,180.0,1.8082785909555548,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/viewer/lib/three-surfer/dist/bundle.js,1,0,53.26496700000405,53.26496700000405,53.26496700000405,53.26496700000405,761764.0,1.8082785909555548,0.0,53,53,53,53,53,53,53,53,53,53,53
GET,/viewer/main.bundle.js,1,0,91.30498600001147,91.30498600001147,91.30498600001147,91.30498600001147,1388728.0,1.8082785909555548,0.0,91,91,91,91,91,91,91,91,91,91,91
GET,/viewer/main.js,1,0,45.90115300000264,45.90115300000264,45.90115300000264,45.90115300000264,725487.0,1.8082785909555548,0.0,46,46,46,46,46,46,46,46,46,46,46
GET,/viewer/plugins/manifests,1,0,14.880567999995264,14.880567999995264,14.880567999995264,14.880567999995264,2.0,1.8082785909555548,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/viewer/runtime.js,1,0,15.442766999996138,15.442766999996138,15.442766999996138,15.442766999996138,1193.0,1.8082785909555548,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/viewer/styles.css,1,0,31.536106000004338,31.536106000004338,31.536106000004338,31.536106000004338,410961.0,1.8082785909555548,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/viewer/user,1,1,253.06291600000463,253.06291600000463,253.06291600000463,253.06291600000463,17.0,1.8082785909555548,1.8082785909555548,250,250,250,250,250,250,250,250,250,250,250
GET,/viewer/vendor.js,1,0,64.01211200000034,64.01211200000034,64.01211200000034,64.01211200000034,1675703.0,1.8082785909555548,0.0,64,64,64,64,64,64,64,64,64,64,64
GET,/viewer/version.css,1,0,207.82878400000016,207.82878400000016,207.82878400000016,207.82878400000016,27.0,1.8082785909555548,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/viewer/worker-nifti.js,1,0,11.151926000010803,11.151926000010803,11.151926000010803,11.151926000010803,5591.0,1.8082785909555548,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/viewer/worker-plotly.js,1,0,20.850960999993617,20.850960999993617,20.850960999993617,20.850960999993617,2615.0,1.8082785909555548,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/viewer/worker-regionFilter.js,1,0,10.970904999993536,10.970904999993536,10.970904999993536,10.970904999993536,707.0,1.8082785909555548,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/viewer/worker-typedarray.js,1,0,14.582017000009273,14.582017000009273,14.582017000009273,14.582017000009273,3675.0,1.8082785909555548,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/viewer/worker.js,1,0,22.070600999995804,22.070600999995804,22.070600999995804,22.070600999995804,3520.0,1.8082785909555548,0.0,22,22,22,22,22,22,22,22,22,22,22
,Aggregated,36,1,21,66.90585786111134,10.505754999996952,378.48370899999395,165302.02777777778,65.09802927439996,1.8082785909555548,22,33,64,91,210,250,380,380,380,380,380
